block,symbol,top
ST10_Alarm,PalletNGData.UnLoadingNGPallet.NG_2_4,PalletNGData
ST10_Alarm,PalletNGData.UnLoadingNGPallet.NG_2_5,PalletNGData
ST10_Alarm,PalletNGData.UnLoadingNGPallet.NG_3_1,PalletNGData
ST10_Alarm,PalletNGData.UnLoadingNGPallet.NG_3_2,PalletNGData
ST10_Alarm,PalletNGData.UnLoadingNGPallet.NG_3_3,PalletNGData
ST10_Alarm,PalletNGData.UnLoadingNGPallet.NG_3_4,PalletNGData
ST10_Alarm,PalletNGData.UnLoadingNGPallet.NG_3_5,PalletNGData
ST10_Alarm,PalletNGData.UnLoadingNGPallet.Ready_1,PalletNGData
ST10_Alarm,PalletNGData.UnLoadingNGPallet.Ready_2,PalletNGData
ST10_Alarm,PalletNGData.UnLoadingNGPallet.Ready_3,PalletNGData
ST10_Alarm,PilzData.85A1.I10,PilzData
ST10_Alarm,PilzData.85A1.I11,PilzData
ST10_Alarm,PilzData.85A1.I12,PilzData
ST10_Alarm,PilzData.85A1.I13,PilzData
ST10_Alarm,PilzData.85A1.I4,PilzData
ST10_Alarm,PilzData.85A1.I5,PilzData
ST10_Alarm,PilzData.85A1.I6,PilzData
ST10_Alarm,PilzData.85A1.I8,PilzData
ST10_Alarm,PilzData.85A1.I9,PilzData
ST10_Alarm,PilzData.85A2.I0,PilzData
ST10_Alarm,PilzData.85A2.I1,PilzData
ST10_Alarm,PilzData.85A2.I2,PilzData
ST10_Alarm,PilzData.85A2.I3,PilzData
ST10_Alarm,PilzData.85A2.I4,PilzData
ST10_Alarm,PilzData.85A2.I5,PilzData
ST10_Alarm,PilzData.85A2.I6,PilzData
ST10_Alarm,PilzData.85A2.I7,PilzData
ST10_Alarm,PilzData.85A4.I0,PilzData
ST10_Alarm,PilzData.85A4.I1,PilzData
ST10_Alarm,PilzData.85A4.I2,PilzData
ST10_Alarm,PilzData.85A4.I3,PilzData
ST10_Alarm,PilzData.85A4.I4,PilzData
ST10_Alarm,PilzData.85A4.I5,PilzData
ST10_Alarm,PilzData.85A5.I0,PilzData
ST10_Alarm,PilzData.85A5.I1,PilzData
ST10_Alarm,PilzData.85A5.I2,PilzData
ST10_Alarm,PilzData.85A5.I3,PilzData
ST10_Alarm,PilzData.85A5.I4,PilzData
ST10_Alarm,PilzData.85A5.I5,PilzData
ST10_Alarm,ST10Cylinder.Cy.S.Alarm,ST10Cylinder
ST10_Alarm,ST10_DeviceError.A.A1TableScan.LightCuritTouch,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.A1TableUnloading.RingCheckExist,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.A2TableScan.LightCuritTouch,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.A2TableUnloading.RingCheckExist,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.A_Spare_2.Scan_800A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.A_Spare_2.Scan_801A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.A_Spare_2.Scan_804A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.A_Spare_2.Servo_380A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.A_Spare_2.Servo_381A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.Other.Servo_380A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.Other.Servo_381A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.A.Other.Servo_383A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.B.B_Spare_1.Kistler_Press1_372A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.B.B_Spare_1.Kistler_Press2_375A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.B.B_Spare_1.Scan_806A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.CGlueing.Servo_383A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.CGlueing.SysError,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.CGlueing.X,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.CGlueing.Y,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.CGlueing.Z,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.C_Spare_2.GluingDeviceReady,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.C_Spare_2.GluingFault,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.C_Spare_2.GluingRefillTank,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.C_Spare_2.GluingTankEmpty,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.C_Spare_2.IV3_810A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.C_Spare_2.IV3_811A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.C_Spare_2.Servo_382A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.C.Other.Servo_383A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_1.NG 1 DoorOpen,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_1.NG 2 DoorOpen,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_1.PressNGFull,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_1.PressNGStatus,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_1.RingScanNGFull,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_1.RingScanNGStatus,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_1.ShaftScanNGFull,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_1.ShaftScanStatus,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_2.MagnetNGFull,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_2.MagnetNGStatus,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_2.Press/GlueNGFull,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_2.Press/GlueNGStatus,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_2.RingScanNGFull,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.E.NG_2.RingScanNGStatus,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.F_Spare_1.Robot_1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.F_Spare_1.Robot_2,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.F_Spare_1.Robot_3,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.F_Spare_1.Scan_805A1,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.Robot_1.EXT Fault,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.Robot_1.ManualMoved,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.Robot_1.RobotNOTStart,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.Robot_2.EXT Fault,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.Robot_2.ManualMoved,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.Robot_2.RobotNOTStart,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.Robot_3.EXT Fault,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.Robot_3.ManualMoved,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.F.Robot_3.RobotNOTStart,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.EmptyStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.EmptyStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.EmptyStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.EmptyStop4timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.LoadingStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.LoadingStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.LoadingStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.LoadingStop4timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.UnloadingLiftingtimeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.UnloadingStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.UnloadingStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.ShaftLine.UnloadingStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.Spare_1.H-shaftLifting_Motor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.Spare_1.H-shaftLoad_Motor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.H.Spare_1.H-shaftUnLoad_Motor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.EmptyStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.EmptyStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.EmptyStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.EmptyStop4timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.LoadingStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.LoadingStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.LoadingStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.LoadingStop4timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.UnloadingLiftingtimeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.UnloadingStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.UnloadingStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.MagnetLine.UnloadingStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.Spare_1.J-MagnetLifting_Motor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.Spare_1.J-MagnetLoad_Motor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.J.Spare_1.J-MagnetUnLoad_Motor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.EmptyStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.EmptyStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.EmptyStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.EmptyStop4timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.LoadingStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.LoadingStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.LoadingStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.LoadingStop4timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.UnloadingLiftingtimeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.UnloadingStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.UnloadingStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.ReserveLine.UnloadingStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.Spare_1.K-Lifting_Motor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.Spare_1.K-ReserveLoad_Motor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.K.Spare_1.K-ReserveUnLoad_Motor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.L.Spare_2.L-Unloading _LineMotor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.L.Spare_2.L-Unloading_Motor,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.L.UnloadingLine.EmptyStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.L.UnloadingLine.EmptyStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.L.UnloadingLine.EmptyStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.L.UnloadingLine.LoadingStop1timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.L.UnloadingLine.LoadingStop2timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.L.UnloadingLine.LoadingStop3timeout,ST10_DeviceError
ST10_Alarm,ST10_DeviceError.L.UnloadingLine.UnloadingLiftingtimeout,ST10_DeviceError
ST10_Alarm,ST10_Flow12_A2TableUnloading_iDB.PartMissingAlarm.X,ST10_Flow12_A2TableUnloading_iDB
ST10_Alarm,ST10_Flow15_FRobot_3_iDB.RobotStart.X,ST10_Flow15_FRobot_3_iDB
ST10_Alarm,ST10_Flow21_HShaftLifting_iDB.MotorCCWRun.X,ST10_Flow21_HShaftLifting_iDB
ST10_Alarm,ST10_Flow22_JMagnetLifting_iDB.MotorCCWRun.X,ST10_Flow22_JMagnetLifting_iDB
ST10_Alarm,ST10_Flow23_KReserveLifting_iDB.MotorCCWRun.X,ST10_Flow23_KReserveLifting_iDB
ST10_Alarm,ST10_Flow24_LUnloadingTrans_iDB.MotorCCWRun.X,ST10_Flow24_LUnloadingTrans_iDB
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB.WaitPalletArrveNextPos.X,ST10_Flow25_HShaftLoad&Unload_iDB
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB.WaitPalletArrveNextPos_1.X,ST10_Flow25_HShaftLoad&Unload_iDB
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB.WaitPalletArrveNextPos_10.X,ST10_Flow25_HShaftLoad&Unload_iDB
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB.WaitPalletArrveNextPos_2.X,ST10_Flow25_HShaftLoad&Unload_iDB
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB.WaitPalletArrveNextPos_3.X,ST10_Flow25_HShaftLoad&Unload_iDB
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB.WaitPalletArrveNextPos_4.X,ST10_Flow25_HShaftLoad&Unload_iDB
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB.WaitPalletArrveNextPos_5.X,ST10_Flow25_HShaftLoad&Unload_iDB
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB.WaitPalletArrveNextPos_7.X,ST10_Flow25_HShaftLoad&Unload_iDB
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB.WaitPalletArrveNextPos_8.X,ST10_Flow25_HShaftLoad&Unload_iDB
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB.WaitPalletArrveNextPos_9.X,ST10_Flow25_HShaftLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos_1.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos_10.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos_2.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos_3.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos_4.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos_5.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos_6.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos_7.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos_8.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB.WaitPalletArrveNextPos_9.X,ST10_Flow26_JMagnetLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos_1.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos_10.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos_2.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos_3.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos_4.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos_5.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos_6.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos_7.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos_8.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB.WaitPalletArrveNextPos_9.X,ST10_Flow27_KReserveLoad&Unload_iDB
ST10_Alarm,ST10_Flow28_LUnloadingLoad&Unload_IiDB.WaitPalletArrveNextPos.X,ST10_Flow28_LUnloadingLoad&Unload_IiDB
ST10_Alarm,ST10_Flow28_LUnloadingLoad&Unload_IiDB.WaitPalletArrveNextPos_1.X,ST10_Flow28_LUnloadingLoad&Unload_IiDB
ST10_Alarm,ST10_Flow28_LUnloadingLoad&Unload_IiDB.WaitPalletArrveNextPos_2.X,ST10_Flow28_LUnloadingLoad&Unload_IiDB
ST10_Alarm,ST10_Flow28_LUnloadingLoad&Unload_IiDB.WaitPalletArrveNextPos_7.X,ST10_Flow28_LUnloadingLoad&Unload_IiDB
ST10_Alarm,ST10_Flow28_LUnloadingLoad&Unload_IiDB.WaitPalletArrveNextPos_8.X,ST10_Flow28_LUnloadingLoad&Unload_IiDB
ST10_Alarm,ST10_Flow28_LUnloadingLoad&Unload_IiDB.WaitPalletArrveNextPos_9.X,ST10_Flow28_LUnloadingLoad&Unload_IiDB
